trial0000030, 000450, SZIP, 2817, 10, 281.700000, ZIP, 1422, 6, 237.000000, N, 33, 
trial0000031, 000450, SZIP, 2224, 10, 222.400000, ZIP, 1605, 6, 267.500000, 1, 33, 
trial0000032, 000450, SZIP, 2743, 10, 274.300000, ZIP, 1763, 6, 293.833333, N, 43, 
trial0000033, 000450, SZIP, 1788, 10, 178.800000, ZIP, 1527, 6, 254.500000, 168, 562, 
trial0000034, 000450, SZIP, 2365, 10, 236.500000, ZIP, 1294, 6, 215.666667, N, N, 
trial0000035, 000450, SZIP, 2721, 10, 272.100000, ZIP, 1721, 6, 286.833333, N, 172, 
trial0000036, 000450, SZIP, 2346, 10, 234.600000, ZIP, 1518, 6, 253.000000, N, 240, 
trial0000037, 000450, SZIP, 2786, 10, 278.600000, ZIP, 1509, 6, 251.500000, 129, N, 
trial0000038, 000450, SZIP, 1878, 10, 187.800000, ZIP, 1338, 6, 223.000000, 168, 194, 
trial0000039, 000450, SZIP, 2812, 10, 281.200000, ZIP, 1522, 6, 253.666667, N, 37, 
trial0000040, 000450, SZIP, 2543, 10, 254.300000, ZIP, 1407, 6, 234.500000, 153, 181, 
trial0000041, 000450, SZIP, 2494, 10, 249.400000, ZIP, 1625, 6, 270.833333, 158, 226, 
trial0000042, 000450, SZIP, 2146, 10, 214.600000, ZIP, 1726, 6, 287.666667, 159, 160, 
trial0000043, 000450, SZIP, 2598, 10, 259.800000, ZIP, 1671, 6, 278.500000, 167, N, 
trial0000044, 000450, SZIP, 2428, 10, 242.800000, ZIP, 1419, 6, 236.500000, 167, 205, 
trial0000045, 000450, SZIP, 1897, 10, 189.700000, ZIP, 1721, 6, 286.833333, 164, 202, 
trial0000046, 000450, SZIP, 2387, 10, 238.700000, ZIP, 1550, 6, 258.333333, N, 68, 
trial0000047, 000450, SZIP, 1843, 10, 184.300000, ZIP, 1882, 6, 313.666667, 139, 205, 
trial0000048, 000450, SZIP, 2258, 10, 225.800000, ZIP, 943, 6, 157.166667, 161, 205, 
trial0000049, 000450, SZIP, 2124, 10, 212.400000, ZIP, 1706, 6, 284.333333, 166, 440, 
trial0000050, 000450, SZIP, 2107, 10, 210.700000, ZIP, 1348, 6, 224.666667, 158, N, 
trial0000001, 000450, SZIP, 3063, 12, 255.250000, ZIP, 766, 4, 191.500000, 157, N, 
trial0000002, 000450, SZIP, 2550, 12, 212.500000, ZIP, 1103, 4, 275.750000, 54, 399, 
trial0000003, 000450, SZIP, 2609, 12, 217.416667, ZIP, 848, 4, 212.000000, 158, 204, 
trial0000004, 000450, SZIP, 3012, 12, 251.000000, ZIP, 1061, 4, 265.250000, 168, 538, 
trial0000005, 000450, SZIP, 2986, 12, 248.833333, ZIP, 1150, 4, 287.500000, N, 112, 
trial0000006, 000450, SZIP, 2751, 12, 229.250000, ZIP, 1092, 4, 273.000000, N, 223, 
trial0000007, 000450, SZIP, 2341, 12, 195.083333, ZIP, 1248, 4, 312.000000, 168, 521, 
trial0000008, 000450, SZIP, 3025, 12, 252.083333, ZIP, 852, 4, 213.000000, 160, 670, 
trial0000009, 000450, SZIP, 2821, 12, 235.083333, ZIP, 764, 4, 191.000000, 166, 395, 
trial0000010, 000450, SZIP, 2719, 12, 226.583333, ZIP, 1196, 4, 299.000000, N, 185, 
trial0000011, 000450, SZIP, 3171, 12, 264.250000, ZIP, 964, 4, 241.000000, 162, 398, 
trial0000012, 000450, SZIP, 2714, 12, 226.166667, ZIP, 994, 4, 248.500000, 163, 180, 
trial0000013, 000450, SZIP, 3178, 12, 264.833333, ZIP, 1155, 4, 288.750000, 1, 54, 
