trial0000021, 000450, SNPR, 256, 6, 42.666667, ZIP, 1006, 10, 100.600000, 51, 78, 
trial0000022, 000450, SNPR, 222, 6, 37.000000, ZIP, 1262, 10, 126.200000, 52, N, 
trial0000023, 000450, SNPR, 246, 6, 41.000000, ZIP, 1256, 10, 125.600000, 64, N, 
trial0000024, 000450, SNPR, 299, 6, 49.833333, ZIP, 1404, 10, 140.400000, 52, 86, 
trial0000025, 000450, SNPR, 233, 6, 38.833333, ZIP, 1219, 10, 121.900000, 53, 73, 
trial0000026, 000450, SNPR, 297, 6, 49.500000, ZIP, 1173, 10, 117.300000, 27, 69, 
trial0000027, 000450, SNPR, 199, 6, 33.166667, ZIP, 1214, 10, 121.400000, 41, 280, 
trial0000028, 000450, SNPR, 255, 6, 42.500000, ZIP, 918, 10, 91.800000, 52, 79, 
trial0000029, 000450, SNPR, 301, 6, 50.166667, ZIP, 1053, 10, 105.300000, 62, N, 
trial0000030, 000450, SNPR, 244, 6, 40.666667, ZIP, 947, 10, 94.700000, 57, 58, 
trial0000031, 000450, SNPR, 229, 6, 38.166667, ZIP, 1156, 10, 115.600000, 61, 1000, 
trial0000032, 000450, SNPR, 190, 6, 31.666667, ZIP, 1191, 10, 119.100000, 37, 91, 
trial0000033, 000450, SNPR, 206, 6, 34.333333, ZIP, 1170, 10, 117.000000, 40, 90, 
trial0000034, 000450, SNPR, 309, 6, 51.500000, ZIP, 1147, 10, 114.700000, 54, 70, 
trial0000035, 000450, SNPR, 282, 6, 47.000000, ZIP, 1094, 10, 109.400000, 35, 40, 
trial0000036, 000450, SNPR, 249, 6, 41.500000, ZIP, 1284, 10, 128.400000, 61, 79, 
trial0000037, 000450, SNPR, 214, 6, 35.666667, ZIP, 1048, 10, 104.800000, 28, 82, 
trial0000038, 000450, SNPR, 116, 6, 19.333333, ZIP, 1243, 10, 124.300000, 53, 659, 
trial0000039, 000450, SNPR, 225, 6, 37.500000, ZIP, 1314, 10, 131.400000, 59, 549, 
trial0000040, 000450, SNPR, 273, 6, 45.500000, ZIP, 1119, 10, 111.900000, 61, 955, 
trial0000041, 000450, SNPR, 296, 6, 49.333333, ZIP, 1126, 10, 112.600000, 57, 67, 
trial0000042, 000450, SNPR, 248, 6, 41.333333, ZIP, 1266, 10, 126.600000, 62, 80, 
trial0000043, 000450, SNPR, 242, 6, 40.333333, ZIP, 1187, 10, 118.700000, 56, 64, 
trial0000044, 000450, SNPR, 195, 6, 32.500000, ZIP, 1212, 10, 121.200000, 57, 91, 
trial0000045, 000450, SNPR, 264, 6, 44.000000, ZIP, 1101, 10, 110.100000, 56, 217, 
trial0000046, 000450, SNPR, 190, 6, 31.666667, ZIP, 1306, 10, 130.600000, 61, 71, 
trial0000047, 000450, SNPR, 220, 6, 36.666667, ZIP, 1263, 10, 126.300000, 51, 227, 
trial0000048, 000450, SNPR, 274, 6, 45.666667, ZIP, 1273, 10, 127.300000, 43, N, 
trial0000049, 000450, SNPR, 263, 6, 43.833333, ZIP, 1257, 10, 125.700000, 55, N, 
trial0000050, 000450, SNPR, 286, 6, 47.666667, ZIP, 1083, 10, 108.300000, 39, N, 
trial0000001, 000450, SNPR, 421, 8, 52.625000, ZIP, 869, 8, 108.625000, 53, 93, 
trial0000002, 000450, SNPR, 311, 8, 38.875000, ZIP, 958, 8, 119.750000, 29, 39, 
trial0000003, 000450, SNPR, 330, 8, 41.250000, ZIP, 834, 8, 104.250000, 47, 72, 
trial0000004, 000450, SNPR, 374, 8, 46.750000, ZIP, 933, 8, 116.625000, 53, 65, 
trial0000005, 000450, SNPR, 317, 8, 39.625000, ZIP, 861, 8, 107.625000, 53, 79, 
trial0000006, 000450, SNPR, 420, 8, 52.500000, ZIP, 799, 8, 99.875000, 39, 74, 
trial0000007, 000450, SNPR, 294, 8, 36.750000, ZIP, 971, 8, 121.375000, 52, 97, 
trial0000008, 000450, SNPR, 400, 8, 50.000000, ZIP, 850, 8, 106.250000, 47, 74, 
trial0000009, 000450, SNPR, 288, 8, 36.000000, ZIP, 936, 8, 117.000000, 53, 82, 
trial0000010, 000450, SNPR, 290, 8, 36.250000, ZIP, 893, 8, 111.625000, 53, 901, 
trial0000011, 000450, SNPR, 340, 8, 42.500000, ZIP, 882, 8, 110.250000, 52, 77, 
trial0000012, 000450, SNPR, 323, 8, 40.375000, ZIP, 745, 8, 93.125000, 53, 118, 
trial0000013, 000450, SNPR, 389, 8, 48.625000, ZIP, 662, 8, 82.750000, 40, 89, 
trial0000014, 000450, SNPR, 309, 8, 38.625000, ZIP, 822, 8, 102.750000, 62, 510, 
trial0000015, 000450, SNPR, 291, 8, 36.375000, ZIP, 1012, 8, 126.500000, 32, 167, 
