trial0000040, 000450, SNPR, 1211, 10, 121.100000, ZIP, 1632, 6, 272.000000, 157, N, 
trial0000041, 000450, SNPR, 1211, 10, 121.100000, ZIP, 1432, 6, 238.666667, N, 179, 
trial0000042, 000450, SNPR, 1493, 10, 149.300000, ZIP, 1324, 6, 220.666667, 141, 199, 
trial0000043, 000450, SNPR, 1313, 10, 131.300000, ZIP, 1354, 6, 225.666667, 144, 166, 
trial0000044, 000450, SNPR, 1315, 10, 131.500000, ZIP, 1520, 6, 253.333333, 168, 350, 
trial0000045, 000450, SNPR, 1066, 10, 106.600000, ZIP, 1636, 6, 272.666667, N, N, 
trial0000046, 000450, SNPR, 832, 10, 83.200000, ZIP, 1550, 6, 258.333333, 96, 107, 
trial0000047, 000450, SNPR, 766, 10, 76.600000, ZIP, 2000, 6, 333.333333, N, 32, 
trial0000048, 000450, SNPR, 1629, 10, 162.900000, ZIP, 1265, 6, 210.833333, 59, N, 
trial0000049, 000450, SNPR, 1333, 10, 133.300000, ZIP, 1422, 6, 237.000000, N, 164, 
trial0000050, 000450, SNPR, 1476, 10, 147.600000, ZIP, 1516, 6, 252.666667, N, 239, 
trial0000001, 000450, SNPR, 1755, 12, 146.250000, ZIP, 1034, 4, 258.500000, N, 32, 
trial0000002, 000450, SNPR, 1233, 12, 102.750000, ZIP, 1110, 4, 277.500000, 155, 179, 
trial0000003, 000450, SNPR, 1583, 12, 131.916667, ZIP, 1192, 4, 298.000000, N, 34, 
trial0000004, 000450, SNPR, 1378, 12, 114.833333, ZIP, 1011, 4, 252.750000, N, 201, 
trial0000005, 000450, SNPR, 1027, 12, 85.583333, ZIP, 1250, 4, 312.500000, N, 81, 
trial0000006, 000450, SNPR, 1181, 12, 98.416667, ZIP, 1125, 4, 281.250000, 166, 256, 
trial0000007, 000450, SNPR, 1484, 12, 123.666667, ZIP, 1177, 4, 294.250000, 163, N, 
trial0000008, 000450, SNPR, 1754, 12, 146.166667, ZIP, 1048, 4, 262.000000, N, 33, 
trial0000009, 000450, SNPR, 1930, 12, 160.833333, ZIP, 957, 4, 239.250000, N, 171, 
trial0000010, 000450, SNPR, 843, 12, 70.250000, ZIP, 981, 4, 245.250000, 166, 378, 
trial0000011, 000450, SNPR, 1531, 12, 127.583333, ZIP, 1101, 4, 275.250000, 163, 864, 
trial0000012, 000450, SNPR, 1259, 12, 104.916667, ZIP, 950, 4, 237.500000, 160, 337, 
trial0000013, 000450, SNPR, 1362, 12, 113.500000, ZIP, 1263, 4, 315.750000, 130, 842, 
trial0000014, 000450, SNPR, 1267, 12, 105.583333, ZIP, 1058, 4, 264.500000, 166, 195, 
trial0000015, 000450, SNPR, 651, 12, 54.250000, ZIP, 1231, 4, 307.750000, 168, 508, 
