trial0000003, 000450, SNPR, 546, 12, 45.500000, SZIP, 397, 4, 99.250000, N, N, 
trial0000004, 000450, SNPR, 308, 12, 25.666667, SZIP, 325, 4, 81.250000, 57, N, 
trial0000005, 000450, SNPR, 290, 12, 24.166667, SZIP, 494, 4, 123.500000, 63, N, 
trial0000006, 000450, SNPR, 430, 12, 35.833333, SZIP, 371, 4, 92.750000, N, 42, 
trial0000007, 000450, SNPR, 357, 12, 29.750000, SZIP, 252, 4, 63.000000, 58, 926, 
trial0000008, 000450, SNPR, 500, 12, 41.666667, SZIP, 236, 4, 59.000000, 52, 69, 
trial0000009, 000450, SNPR, 402, 12, 33.500000, SZIP, 262, 4, 65.500000, 63, N, 
trial0000010, 000450, SNPR, 354, 12, 29.500000, SZIP, 355, 4, 88.750000, 61, 220, 
trial0000011, 000450, SNPR, 436, 12, 36.333333, SZIP, 363, 4, 90.750000, 52, N, 
trial0000012, 000450, SNPR, 352, 12, 29.333333, SZIP, 472, 4, 118.000000, 54, N, 
trial0000013, 000450, SNPR, 446, 12, 37.166667, SZIP, 269, 4, 67.250000, N, 1000, 
trial0000014, 000450, SNPR, 351, 12, 29.250000, SZIP, 225, 4, 56.250000, N, N, 
trial0000015, 000450, SNPR, 457, 12, 38.083333, SZIP, 431, 4, 107.750000, 61, 913, 
trial0000016, 000450, SNPR, 462, 12, 38.500000, SZIP, 294, 4, 73.500000, N, N, 
trial0000017, 000450, SNPR, 515, 12, 42.916667, SZIP, 369, 4, 92.250000, 52, 94, 
trial0000018, 000450, SNPR, 607, 12, 50.583333, SZIP, 462, 4, 115.500000, N, 87, 
trial0000019, 000450, SNPR, 496, 12, 41.333333, SZIP, 418, 4, 104.500000, 52, 844, 
